symbol,BB_BWidth,BB_%B,YF%,MFI,RSI,ADX,CCI,ROC,CMF,ATR,FWMA,VWAP,st_way,Supertrend,kama,CPrice,change,time,Unnamed: 0,Stoch_K,Stoch_D,StochRSI_K,StochRSI_D,MACDAS-dif,MACDAS,MACDAS_Signal,OBV,AD,Tenkan,Kijun,Senkou_A,Senkou_B,Chikou,Cloud_Position,TK_Cross
SANFM.IS,75.59679638748901,0.1124679311115287,17.99357767689071,19.130190914275705,26.995767214310742,36.220969164171215,-100.58178191428968,-36.98564441782471,-0.1921372943497369,2.8037052813517405,28.55239376625231,27.31333351135254,-1,35.99183169723895,32.51608865327185,26.34,-9.97949419002051,2025-05-14 00:38:35.298584,,,,,,,,,,,,,,,,,
DENGE.IS,97.7974507602906,0.2035591439170279,0.5263157894736846,50.58217118330053,27.331347534387707,31.513766388997663,-80.24916181334439,-41.66666284585597,-0.3678208431697358,0.1821071887309947,1.86254401949308,1.826666673024496,-1,2.364729371361004,2.0588599649873265,1.82,-1.6216216216216273,2025-05-14 00:38:35.298584,,,,,,,,,,,,,,,,,
YKSLN.IS,21.41845930033428,0.1423358986523485,0.7712082262210747,29.81322430793936,28.1944934796246,17.17480577639124,-111.07392376764663,-9.375004108776022,-0.3316230457593487,0.2166414265544955,5.030628734379704,4.9433333079020185,-1,5.534547410531251,5.134882123327765,4.93,-1.4000000000000012,2025-05-14 00:38:35.298584,,,,,,,,,,,,,,,,,
DYOBY.IS,18.838654505479244,0.2767605400809562,2.7878787878787823,58.64356168509887,30.03815092560986,35.44024813236734,-85.74566799998613,-6.075949535177333,-0.4744850241084438,0.7513061414277132,14.780071117331484,14.81000010172526,-1,16.493298836950935,15.056906995124638,14.84,0.0,2025-05-14 00:38:35.298584,,,,,,,,,,,,,,,,,
DNISI.IS,25.263482285080325,0.1183548390348353,50.18276762402088,31.39773302947772,33.84843873708277,30.360211216754376,-113.74014810371872,-13.504558041868751,-0.4140040135630734,1.1862013657878991,21.22618607139974,21.15333302815755,-1,24.755661024052987,22.55830870405872,20.88,-2.611940298507476,2025-05-14 00:38:35.298584,,,,,,,,,,,,,,,,,
SANFM.IS,75.59679638748901,0.1124679311115287,17.99357767689071,19.130190914275705,26.995767214310742,36.220969164171215,-100.58178191428968,-36.98564441782471,-0.1921372943497369,2.8037052813517405,28.55239376625231,27.31333351135254,-1,35.99183169723895,32.51608865327185,26.34,-9.97949419002051,2025-05-14 01:24:47.470334,,,,,,,,,,,,,,,,,
YKSLN.IS,21.41845930033428,0.1423358986523485,0.7712082262210747,29.81322430793936,28.1944934796246,17.17480577639124,-111.07392376764663,-9.375004108776022,-0.3316230457593487,0.2166414265544955,5.030628734379704,4.9433333079020185,-1,5.534547410531251,5.134882123327765,4.93,-1.4000000000000012,2025-05-14 01:24:47.470334,,,,,,,,,,,,,,,,,
DNISI.IS,25.263482285080325,0.1183548390348353,50.18276762402088,31.39773302947772,33.84843873708277,30.360211216754376,-113.74014810371872,-13.504558041868751,-0.4140040135630734,1.1862013657878991,21.22618607139974,21.15333302815755,-1,24.755661024052987,22.55830870405872,20.88,-2.611940298507476,2025-05-14 01:24:47.470334,,,,,,,,,,,,,,,,,
BURCE.IS,12.125747162590514,0.2088785352031242,1.543349977303676,53.90837281110901,37.34132886307652,24.05548735106124,-105.21394511176791,-4.921396181795746,-0.1941526277941875,0.5216775056520427,14.003914771167068,13.84333356221517,-1,15.264548044970166,14.348693975837516,13.91,-0.642857142857145,2025-05-14 01:24:47.470334,,,,,,,,,,,,,,,,,
SDTTR.IS,13.965431367882609,0.0981238005923587,4.031287605294819,40.5718025096037,37.456088903215466,12.16168584631926,-126.03888611464852,-5.597964376590331,-0.663898069537253,8.135871364000188,188.9997969931086,186.6000010172526,-1,209.89000680333464,193.0799313483007,185.5,-2.007395668251455,2025-05-14 01:24:47.470334,,,,,,,,,,,,,,,,,
BFREN.IS,242.5282974887545,0.2760724736606028,2.247444538314029,69.42874369615942,19.48540840047072,36.34116555199265,-60.12688921175698,-73.07179957120883,-0.4279190063146658,37.5946811451854,186.3532723045736,183.0999959309896,-1,292.37647143494337,205.014715096266,181.9,-1.6756756756756697,2025-05-14 01:25:06.577767,,,,,,,,,,,,,,,,,
SANFM.IS,75.59679638748901,0.1124679311115287,17.99357767689071,19.130190914275705,26.995767214310742,36.220969164171215,-100.58178191428968,-36.98564441782471,-0.1921372943497369,2.8037052813517405,28.55239376625231,27.31333351135254,-1,35.99183169723895,32.51608865327185,26.34,-9.97949419002051,2025-05-14 01:25:06.577767,,,,,,,,,,,,,,,,,
DENGE.IS,97.7974507602906,0.2035591439170279,0.5263157894736846,50.58217118330053,27.331347534387707,31.513766388997663,-80.24916181334439,-41.66666284585597,-0.3678208431697358,0.1821071887309947,1.86254401949308,1.826666673024496,-1,2.364729371361004,2.0588599649873265,1.82,-1.6216216216216273,2025-05-14 01:25:06.577767,,,,,,,,,,,,,,,,,
